,movieId,userId,ratings
0,1,23,
1,3,23,
2,6,23,
3,47,23,
4,50,23,
5,70,23,
6,101,23,
7,110,23,
8,151,23,
9,157,23,
10,163,23,
11,216,23,
12,223,23,
13,231,23,
14,235,23,
15,260,23,
16,296,23,
17,316,23,
18,333,23,
19,349,23,
20,356,23,
21,362,23,
22,367,23,
23,423,23,
24,441,23,
25,457,23,
26,480,23,
27,500,23,
28,527,23,
29,543,23,
30,552,23,
31,553,23,
32,590,23,
33,592,23,
34,593,23,
35,596,23,
36,608,23,
37,648,23,
38,661,23,
39,673,23,
40,733,23,
41,736,23,
42,780,23,
43,804,23,
44,919,23,
45,923,23,
46,940,23,
47,943,23,
48,954,23,
49,1009,23,
50,1023,23,
51,1024,23,
52,1025,23,
53,1029,23,
54,1030,23,
55,1031,23,
56,1032,23,
57,1042,23,
58,1049,23,
59,1060,23,
60,1073,23,
61,1080,23,
62,1089,23,
63,1090,23,
64,1092,23,
65,1097,23,
66,1127,23,
67,1136,23,
68,1196,23,
69,1197,23,
70,1198,23,
71,1206,23,
72,1208,23,
73,1210,23,
74,1213,23,
75,1214,23,
76,1219,23,
77,1220,23,
78,1222,23,
79,1224,23,
80,1226,23,
81,1240,23,
82,1256,23,
83,1258,23,
84,1265,23,
85,1270,23,
86,1275,23,
87,1278,23,
88,1282,23,
89,1291,23,
90,1298,23,
91,1348,23,
92,1377,23,
93,1396,23,
94,1408,23,
95,1445,23,
96,1473,23,
97,1500,23,
98,1517,23,
99,1552,23,
100,1573,23,
101,1580,23,
102,1587,23,
103,1617,23,
104,1620,23,
105,1625,23,
106,1644,23,
107,1676,23,
108,1732,23,
109,1777,23,
110,1793,23,
111,1804,23,
112,1805,23,
113,1920,23,
114,1927,23,
115,1954,23,
116,1967,23,
117,2000,23,
118,2005,23,
119,2012,23,
120,2018,23,
121,2028,23,
122,2033,23,
123,2046,23,
124,2048,23,
125,2054,23,
126,2058,23,
127,2078,23,
128,2090,23,
129,2093,23,
130,2094,23,
131,2096,23,
132,2099,23,
133,2105,23,
134,2115,23,
135,2116,23,
136,2137,23,
137,2139,23,
138,2141,23,
139,2143,23,
140,2161,23,
141,2174,23,
142,2193,23,
143,2253,23,
144,2268,23,
145,2273,23,
146,2291,23,
147,2329,23,
148,2338,23,
149,2353,23,
150,2366,23,
151,2387,23,
152,2389,23,
153,2395,23,
154,2406,23,
155,2414,23,
156,2427,23,
157,2450,23,
158,2459,23,
159,2470,23,
160,2478,23,
161,2492,23,
162,2502,23,
163,2528,23,
164,2529,23,
165,2542,23,
166,2571,23,
167,2580,23,
168,2596,23,
169,2616,23,
170,2617,23,
171,2628,23,
172,2640,23,
173,2641,23,
174,2644,23,
175,2648,23,
176,2654,23,
177,2657,23,
178,2692,23,
179,2700,23,
180,2716,23,
181,2761,23,
182,2797,23,
183,2826,23,
184,2858,23,
185,2872,23,
186,2899,23,
187,2916,23,
188,2944,23,
189,2947,23,
190,2948,23,
191,2949,23,
192,2959,23,
193,2985,23,
194,2987,23,
195,2991,23,
196,2993,23,
197,2997,23,
198,3033,23,
199,3034,23,
200,3052,23,
201,3053,23,
202,3062,23,
203,3147,23,
204,3168,23,
205,3176,23,
206,3243,23,
207,3247,23,
208,3253,23,
209,3273,23,
210,3386,23,
211,3439,23,
212,3440,23,
213,3441,23,
214,3448,23,
215,3450,23,
216,3479,23,
217,3489,23,
218,3527,23,
219,3578,23,
220,3617,23,
221,3639,23,
222,3671,23,
223,3702,23,
224,3703,23,
225,3729,23,
226,3740,23,
227,3744,23,
228,3793,23,
229,3809,23,
230,4006,23,
231,5060,23,
232,318,23,
233,1704,23,
234,6874,23,
235,8798,23,
236,46970,23,
237,48516,23,
238,58559,23,
239,60756,23,
240,68157,23,
241,71535,23,
242,74458,23,
243,77455,23,
244,79132,23,
245,80489,23,
246,80906,23,
247,86345,23,
248,89774,23,
249,91529,23,
250,91658,23,
251,99114,23,
252,106782,23,
253,109487,23,
254,112552,23,
255,114060,23,
